time,c1,c5,c10,c15,c20,c25,c30,c35,c40,c45,c50,c55,c60,c65,c70,c75,c80,c85,c90,c95
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022528487
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011727201,0.267142656
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162304501,0.673545021
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001198228,0.028405818,0.436874977,1.182805245
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000729573,0.011431031,0.09102073,0.237501682,0.951958746,1.893109767
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002801683,0.013571377,0.121851684,0.381491738,0.644583629,1.479234676,2.673963433
60,0,0,0,0,0,0,0,0,0,0,0,0,0.006880489,0.045464814,0.098780314,0.263803996,0.727173968,1.261969565,2.24653522,3.756740081
64,0,0,0,0,0,0,0,0,0,0.00122464,0.005341546,0.024266125,0.090656074,0.148477465,0.380617526,0.616666363,1.347425021,1.919612368,3.173285205,4.837048355
68,0,0,0,0,0,0,0,0.001674349,0.005598855,0.011464529,0.060795707,0.135308721,0.234895467,0.353316283,0.684397501,1.120856959,1.709805317,2.665406068,3.965258384,5.962522493
72,0,0,0,0,0,0,0.005120274,0.012752022,0.030556233,0.117562392,0.187389376,0.285655696,0.477732626,0.832185832,1.141527148,1.695057455,2.49960509,3.48019185,4.880250597,6.766151507
76,0,0,0,0,0.000949671,0.009293656,0.022780211,0.061488952,0.1500447,0.26233547,0.404298622,0.522919968,0.846345072,1.101486362,1.739365551,2.258879794,3.364443383,4.42045486,5.656527036,7.280555241
80,0,0,0,0.000894012,0.009074738,0.021977064,0.084067832,0.145355035,0.275863909,0.476463886,0.73450077,1.056782718,1.336404977,1.581832246,2.263972461,2.73405545,3.925442378,5.267817355,6.468172839,7.949060961
84,0,0,0.001377618,0.006774298,0.027448108,0.084914987,0.242475307,0.355421706,0.472409877,0.816112117,1.254807458,1.656806778,1.910965768,2.310380202,2.864477691,4.024563164,4.48843442,6.54348234,7.298243488,8.850296963
88,0,0,0.003673569,0.028300414,0.090215319,0.222383625,0.409010432,0.602357421,0.812527979,1.130049915,1.794332632,2.253149006,2.582804025,3.00000211,3.550163826,4.682458449,5.314260477,6.963348475,8.176728844,9.666020416
92,0,0.001443934,0.021537761,0.092968734,0.197048144,0.42387238,0.581694492,0.829291193,1.222305979,1.671138458,2.05135703,2.937157393,3.32372356,3.760788381,4.440973025,5.41697037,6.033839789,7.668311832,8.633416551,10.38643974
96,0,0.005305618,0.055742248,0.172537114,0.445100473,0.590215718,0.818026808,1.217226781,1.707415443,2.117939642,2.640943798,3.573767808,3.875419597,4.417441712,5.3338393,6.045824064,6.597147675,8.48406835,9.098559638,10.93466346
100,0,0.028300414,0.14547819,0.381668792,0.665733914,0.841312708,1.159796518,1.705215012,2.183859705,2.643786649,3.318439005,4.065328215,4.623418787,5.294757343,5.764679004,6.696918054,7.151065046,8.576592783,9.666036748,11.1836739
104,0,0.051491152,0.308765894,0.569351034,0.80893955,1.20060207,1.709654049,2.358553025,2.763217764,3.244055687,3.81603497,4.402177686,5.447950047,5.895831724,6.473929635,7.416486395,7.822561221,9.155959057,10.0835902,11.6557803
108,0,0.078368549,0.463232563,0.773686352,1.000855953,1.508299586,2.133789977,2.931438528,3.365990248,3.842911094,4.377631875,4.84035203,5.851462348,6.635206031,6.997060952,7.907546039,8.344923557,9.408591379,10.62369186,12.02847491
112,0,0.143504301,0.698132658,0.940697081,1.303781257,1.86688861,2.517347905,3.501345482,3.994467771,4.484747354,5.169833201,5.325094826,6.486375746,7.260595291,7.557057624,8.319934431,8.948259028,9.509532803,10.98879301,12.4979916
116,0.006686526,0.217511504,0.879763019,1.262119175,1.780403807,2.348631501,3.119655971,3.802258529,4.466817218,5.058144224,5.607875827,6.016262671,6.819296682,7.744629208,8.292846311,8.774070169,9.315001728,9.838579721,11.33494473,12.70277462
120,0.013915296,0.282820454,1.085667301,1.660218311,2.161908719,2.864449761,3.571486629,4.170168131,4.929814045,5.572819544,6.109756593,6.695882361,7.26283267,8.145917224,8.634048694,9.123523187,9.726278063,10.47351715,11.56755025,12.8464798
124,0.020694272,0.452649543,1.238712081,2.118102668,2.380835403,3.211435062,3.845772041,4.718459021,5.378967105,5.937065767,6.740173836,7.166346769,7.900394129,8.572547151,8.931700245,9.618527402,10.11666011,10.95730708,11.70277854,12.85039134
128,0.028300414,0.58660035,1.310702048,2.512399076,2.823461331,3.67822257,4.329552913,5.022752363,5.813700163,6.463298806,7.172893621,7.685934524,8.470078694,8.840129278,9.319955498,9.926219852,10.56126784,11.11169072,11.91535879,12.94478168
132,0.028300414,0.747996978,1.757753357,2.737392383,3.335595386,4.151366849,4.767129123,5.591515313,6.034781024,6.844371397,7.519078887,8.310349489,8.877290169,9.271299109,9.722422126,10.36937743,11.05614405,11.43229792,11.99047502,13.20820061
136,0.028300414,0.898753335,2.107561335,2.975083942,3.900510124,4.262165244,5.189640782,5.869137051,6.489674512,7.195417745,7.857936755,8.668240647,9.255177296,9.707030687,9.990654523,10.56086079,11.22292388,11.63313729,12.17643862,13.34310161
140,0.028300414,1.075819945,2.490187706,3.348086997,4.321235428,4.764657605,5.602064374,6.143051306,6.880059092,7.541330628,8.160479414,9.025232904,9.459578445,10.02082868,10.36613046,10.72923054,11.41589245,11.93429732,12.411783,13.38621363
